,subject,task,domain,response_rate,percent_lottery,percent_risk,percent_ambiguity,conf_1,conf_2,conf_3,conf_4,negLL,gamma,beta,alpha,at_bound,LL,LL0,AIC,BIC,R2,softmax_accuracy,softmax_range,fig_fn
11,p0011,CRDM,gain,1.0,0.4821428571428572,0.21428571428571427,0.9285714285714286,112,0,0,0,58.313122336610846,8.0,-4.167,0.9162763891317832,1,-58.313122336610846,-77.63248422271388,122.62624467322169,126.06324241581189,0.24885667487696517,0.6696428571428571,0.5655402297544634,p0011/crdm/p0011_crdm_gain_model_fit.eps
12,p0012,CRDM,gain,1.0,0.4642857142857143,0.15714285714285714,0.9761904761904762,112,0,0,0,60.468075956236724,8.0,-4.167,0.8672153724266609,1,-60.468075956236724,-77.63248422271387,126.93615191247345,130.37314965506363,0.22109827398071524,0.7053571428571429,0.5540021149071411,p0012/crdm/p0012_crdm_gain_model_fit.eps
13,p0013,CRDM,gain,1.0,0.5267857142857143,0.24285714285714285,1.0,112,0,0,0,56.709242903406384,8.0,-4.167,0.9279553646325535,1,-56.709242903406384,-77.63248422271387,119.41848580681277,122.85548354940296,0.269516575809714,0.7142857142857143,0.5676662131199742,p0013/crdm/p0013_crdm_gain_model_fit.eps
14,p0014,CRDM,gain,1.0,0.4464285714285714,0.11428571428571428,1.0,112,0,0,0,59.52257342981629,8.0,-4.167,0.88088437996401,1,-59.52257342981629,-77.63248422271388,125.04514685963258,128.48214460222277,0.2332774865344185,0.6785714285714286,0.5577274424147389,p0014/crdm/p0014_crdm_gain_model_fit.eps
15,p0015,CRDM,gain,1.0,0.5267857142857143,0.3,0.9047619047619048,112,0,0,0,62.513439512811,8.0,-4.167,0.8528750773259426,1,-62.513439512811,-77.63248422271387,131.026879025622,134.46387676821217,0.19475152523174455,0.6964285714285714,0.5495696474854463,p0015/crdm/p0015_crdm_gain_model_fit.eps
16,p0016,CRDM,gain,1.0,0.4910714285714286,0.2,0.9761904761904762,112,0,0,0,57.95100061292522,8.0,-4.167,0.9137008229327376,1,-57.95100061292522,-77.63248422271387,121.90200122585044,125.33899896844063,0.2535212392962456,0.6964285714285714,0.5650456389003446,p0016/crdm/p0016_crdm_gain_model_fit.eps
17,p0017,CRDM,gain,1.0,0.4821428571428572,0.2,0.9523809523809523,112,0,0,0,57.847589118045484,8.0,-4.167,0.9116157350220901,1,-57.847589118045484,-77.63248422271388,121.69517823609097,125.13217597868116,0.25485330403583417,0.6875,0.5646378549177641,p0017/crdm/p0017_crdm_gain_model_fit.eps
18,p0018,CRDM,gain,1.0,0.4732142857142857,0.18571428571428572,0.9523809523809523,112,0,0,0,58.88483116883929,8.0,-4.167,0.8955985103934271,1,-58.88483116883929,-77.63248422271387,123.76966233767858,127.20666008026878,0.24149237579581861,0.6964285714285714,0.5612628795596022,p0018/crdm/p0018_crdm_gain_model_fit.eps
19,p0019,CRDM,gain,1.0,0.4732142857142857,0.15714285714285714,1.0,112,0,0,0,57.71191481064523,8.0,-4.167,0.9139783319882457,1,-57.71191481064523,-77.63248422271387,121.42382962129047,124.86082736388066,0.25660095270067673,0.6785714285714286,0.5650994083679766,p0019/crdm/p0019_crdm_gain_model_fit.eps
20,p0020,CRDM,gain,1.0,0.4910714285714286,0.2571428571428571,0.8809523809523809,112,0,0,0,65.09719015127894,8.0,-4.167,0.805457785435074,1,-65.09719015127894,-77.63248422271387,136.19438030255787,139.63137804514807,0.16146970172271435,0.7053571428571429,0.5302978460291623,p0020/crdm/p0020_crdm_gain_model_fit.eps
21,p0021,CRDM,gain,1.0,0.4642857142857143,0.18571428571428572,0.9285714285714286,112,0,0,0,62.68938453333664,8.0,-4.167,0.8322674824147298,1,-62.68938453333664,-77.63248422271387,131.37876906667327,134.81576680926347,0.19248514122655302,0.7142857142857143,0.5421283474547064,p0021/crdm/p0021_crdm_gain_model_fit.eps
22,p0022,CRDM,gain,1.0,0.5089285714285714,0.21428571428571427,1.0,112,0,0,0,56.68769272903197,8.0,-4.167,0.9302902992732328,1,-56.68769272903197,-77.63248422271387,119.37538545806395,122.81238320065414,0.26979416803918055,0.7142857142857143,0.5680701840926505,p0022/crdm/p0022_crdm_gain_model_fit.eps
23,p0023,CRDM,gain,1.0,0.4821428571428572,0.17142857142857143,1.0,112,0,0,0,58.933020977533886,8.0,-4.167,0.8960744382267103,1,-58.933020977533886,-77.63248422271388,123.86604195506777,127.30303969765797,0.2408716329563091,0.7053571428571429,0.5613698411342967,p0023/crdm/p0023_crdm_gain_model_fit.eps
24,p0024,CRDM,gain,1.0,0.5,0.2,1.0,112,0,0,0,57.516651903591196,8.0,-4.167,0.9190738986065959,1,-57.516651903591196,-77.63248422271387,121.03330380718239,124.47030154977259,0.25911617437635914,0.6875,0.5660664290529565,p0024/crdm/p0024_crdm_gain_model_fit.eps
25,p0025,CRDM,gain,1.0,0.6428571428571429,0.44285714285714284,0.9761904761904762,112,0,0,0,49.00100829171541,8.0,-4.167,1.0832028850653288,1,-49.00100829171541,-77.63248422271387,104.00201658343082,107.43901432602101,0.36880793159806424,0.75,0.5886338686765991,p0025/crdm/p0025_crdm_gain_model_fit.eps
26,p0026,CRDM,gain,1.0,0.6071428571428571,0.37142857142857144,1.0,112,0,0,0,44.84690094314298,8.0,-4.167,1.1197376457923827,1,-44.84690094314298,-77.63248422271387,95.69380188628595,99.13079962887615,0.42231784294722363,0.7589285714285714,0.5934570528052542,p0026/crdm/p0026_crdm_gain_model_fit.eps
27,p0027,CRDM,gain,1.0,0.6428571428571429,0.42857142857142855,1.0,112,0,0,0,43.07566473197649,8.0,-4.167,1.1380779946528243,1,-43.07566473197649,-77.63248422271387,92.15132946395298,95.58832720654317,0.44513350096590976,0.7857142857142857,0.5959613451177543,p0027/crdm/p0027_crdm_gain_model_fit.eps
28,p0028,CRDM,gain,1.0,0.625,0.4142857142857143,0.9761904761904762,112,0,0,0,43.282058589728294,8.0,-4.167,1.138597617640425,1,-43.282058589728294,-77.63248422271387,92.56411717945659,96.00111492204678,0.44247489922440564,0.7678571428571429,0.5960331549921591,p0028/crdm/p0028_crdm_gain_model_fit.eps
29,p0029,CRDM,gain,1.0,0.5982142857142857,0.35714285714285715,1.0,112,0,0,0,45.905866759256085,8.0,-4.167,1.0973073334572856,1,-45.905866759256085,-77.63248422271387,97.81173351851217,101.24873126110236,0.408677086417069,0.7589285714285714,0.5904712693486209,p0029/crdm/p0029_crdm_gain_model_fit.eps
