,subject,task,domain,response_rate,percent_lottery,percent_risk,percent_ambiguity,conf_1,conf_2,conf_3,conf_4,negLL,gamma,beta,alpha,at_bound,LL,LL0,AIC,BIC,R2,softmax_accuracy,softmax_range,fig_fn
12,p0012,CRDM,gain,1.0,0.44999999999999996,0.36,0.6,40,0,0,0,17.28884782802294,8.0,-0.49481900775098536,1.218718151113933,1,-17.28884782802294,-27.725887222397812,40.57769565604588,41.95545456427376,0.37643662439568437,0.8,0.6197272209300897,p0012/crdm/p0012_crdm_gain_model_fit.eps
13,p0013,CRDM,gain,1.0,0.42500000000000004,0.32,0.6,40,0,0,0,19.298467806597642,8.0,-1.1606187444437361,1.11236736660153,1,-19.298467806597642,-27.725887222397812,44.596935613195285,45.97469452142316,0.3039549049666568,0.75,0.5977492790103358,p0013/crdm/p0013_crdm_gain_model_fit.eps
14,p0014,CRDM,gain,1.0,0.44999999999999996,0.36,0.6,40,0,0,0,18.615371082199232,8.0,-0.9370872106568345,1.1442363292034723,1,-18.615371082199232,-27.725887222397812,43.230742164398464,44.60850107262634,0.32859241138508377,0.775,0.6037267605365457,p0014/crdm/p0014_crdm_gain_model_fit.eps
15,p0015,CRDM,gain,1.0,0.4,0.44,0.3333333333333333,40,0,0,0,22.58392892597007,8.0,1.4959804309312055,1.111630021930911,1,-22.58392892597007,-27.72588722239781,51.16785785194014,52.545616760168016,0.185456943367854,0.8,0.6768004104243109,p0015/crdm/p0015_crdm_gain_model_fit.eps
16,p0016,CRDM,gain,1.0,0.32499999999999996,0.44,0.13333333333333333,40,0,0,0,16.113563887488965,8.0,3.164643009234304,1.2990727525760541,1,-16.113563887488965,-27.725887222397812,38.22712777497793,39.604886683205805,0.4188260322118046,0.85,0.999786888806267,p0016/crdm/p0016_crdm_gain_model_fit.eps
17,p0017,CRDM,gain,1.0,0.30000000000000004,0.4,0.13333333333333333,40,0,0,0,18.6746396990619,8.0,3.5386931325530275,1.1539892402429353,1,-18.6746396990619,-27.72588722239781,43.3492793981238,44.72703830635167,0.3264547478943808,0.8,0.9914672050766274,p0017/crdm/p0017_crdm_gain_model_fit.eps
18,p0018,CRDM,gain,1.0,0.25,0.36,0.06666666666666667,40,0,0,0,17.11268482167538,8.0,4.167,1.1867981817068254,1,-17.11268482167538,-27.725887222397812,40.22536964335076,41.603128551578635,0.38279036178682735,0.825,0.9965290766438865,p0018/crdm/p0018_crdm_gain_model_fit.eps
19,p0019,CRDM,gain,1.0,0.275,0.36,0.13333333333333333,40,0,0,0,18.28782833704014,8.0,3.505160769679322,1.161805005941254,1,-18.28782833704014,-27.725887222397812,42.57565667408028,43.95341558230815,0.3404060187380883,0.825,0.9926536982899015,p0019/crdm/p0019_crdm_gain_model_fit.eps
20,p0020,CRDM,gain,1.0,0.275,0.44,0.0,40,0,0,0,18.231415088452483,8.0,4.167,1.1406614744404433,1,-18.231415088452483,-27.725887222397812,42.462830176904966,43.84058908513284,0.3424406965875345,0.9,0.9905417607268485,p0020/crdm/p0020_crdm_gain_model_fit.eps
21,p0021,CRDM,gain,1.0,0.22499999999999998,0.36,0.0,40,0,0,0,16.907956918621572,8.0,4.167,1.185319913710689,1,-16.907956918621572,-27.725887222397812,39.815913837243144,41.19367274547102,0.39017436004851047,0.85,0.9964053963133158,p0021/crdm/p0021_crdm_gain_model_fit.eps
22,p0022,CRDM,gain,1.0,0.25,0.4,0.0,40,0,0,0,16.38370027812498,8.0,4.167,1.2174563856012173,1,-16.38370027812498,-27.725887222397812,38.76740055624996,40.145159464477835,0.40908292143344904,0.825,0.9983988764732401,p0022/crdm/p0022_crdm_gain_model_fit.eps
23,p0023,CRDM,gain,1.0,0.25,0.4,0.0,40,0,0,0,15.836383258855346,8.0,4.167,1.2313853998302162,1,-15.836383258855346,-27.725887222397812,37.67276651771069,39.05052542593857,0.4288232101708098,0.875,0.9989087236997317,p0023/crdm/p0023_crdm_gain_model_fit.eps
24,p0024,CRDM,gain,1.0,0.19999999999999996,0.32,0.0,40,0,0,0,16.948351449785388,8.0,4.167,1.1844818701514668,1,-16.948351449785388,-27.725887222397812,39.896702899570776,41.27446180779865,0.38871743530378366,0.825,0.9963336626291552,p0024/crdm/p0024_crdm_gain_model_fit.eps
25,p0025,CRDM,gain,1.0,0.75,0.64,0.9333333333333333,40,0,0,0,6.565537737282186,8.0,-4.167,1.9054767667586643,1,-6.565537737282186,-27.725887222397812,19.131075474564373,20.508834382792244,0.7631982816413411,0.95,0.8167447153304952,p0025/crdm/p0025_crdm_gain_model_fit.eps
26,p0026,CRDM,gain,1.0,0.725,0.6,0.9333333333333333,40,0,0,0,6.913216948791547,8.0,-4.167,1.857403647721153,1,-6.913216948791547,-27.725887222397812,19.826433897583094,21.204192805810965,0.7506584047847227,0.925,0.799501223684709,p0026/crdm/p0026_crdm_gain_model_fit.eps
27,p0027,CRDM,gain,1.0,0.725,0.6,0.9333333333333333,40,0,0,0,6.913216948791547,8.0,-4.167,1.8574036512255405,1,-6.913216948791547,-27.725887222397812,19.826433897583094,21.204192805810965,0.7506584047847227,0.925,0.799501224935244,p0027/crdm/p0027_crdm_gain_model_fit.eps
28,p0028,CRDM,gain,1.0,0.725,0.6,0.9333333333333333,40,0,0,0,6.913216948791547,8.0,-4.167,1.8574036457918346,1,-6.913216948791547,-27.725887222397812,19.826433897583094,21.204192805810965,0.7506584047847227,0.925,0.7995012229962347,p0028/crdm/p0028_crdm_gain_model_fit.eps
29,p0029,CRDM,gain,1.0,0.725,0.6,0.9333333333333333,40,0,0,0,6.913216948791546,8.0,-4.167,1.8574036510020582,1,-6.913216948791546,-27.725887222397812,19.826433897583094,21.204192805810965,0.7506584047847227,0.925,0.7995012248554947,p0029/crdm/p0029_crdm_gain_model_fit.eps
30,p0030,CRDM,gain,1.0,0.7,0.64,0.8,40,0,0,0,9.653325242315804,8.0,-1.7623215698056127,1.7448690012385475,1,-9.653325242315804,-27.72588722239781,25.306650484631607,26.68440939285948,0.6518298886205685,0.9,0.7602478093244851,p0030/crdm/p0030_crdm_gain_model_fit.eps
