,kappa,log_kappa,cdd_immed_amt,cdd_immed_wait,cdd_delay_amt,cdd_delay_wait
24,0.07142857142857142,-2.639057329615259,20,0,30,7
30,0.07333333333333333,-2.6127400212978853,10,0,21,15
62,0.0763888888888889,-2.57191802677763,10,0,65,72
46,0.0861111111111111,-2.4521168269650095,10,0,41,36
40,0.1,-2.3025850929940455,20,0,50,15
47,0.1111111111111111,-2.1972245773362196,10,0,50,36
31,0.13333333333333333,-2.0149030205422647,10,0,30,15
25,0.14999999999999997,-1.8971199848858815,20,0,41,7
41,0.15,-1.8971199848858813,20,0,65,15
48,0.1527777777777778,-1.8787708462176846,10,0,65,36
16,0.15714285714285717,-1.8505999692509882,10,0,21,7
1,0.19999999999999996,-1.6094379124341005,10,0,14,2
32,0.20666666666666664,-1.5766480896111097,10,0,41,15
26,0.21428571428571427,-1.540445040947149,20,0,50,7
10,0.25,-1.3862943611198906,20,0,30,2
33,0.26666666666666666,-1.3217558399823195,10,0,50,15
17,0.2857142857142857,-1.252762968495368,10,0,30,7
27,0.32142857142857145,-1.1349799328389845,20,0,65,7
34,0.36666666666666664,-1.0033021088637848,10,0,65,15
18,0.4428571428571428,-0.8145080375642129,10,0,41,7
11,0.5249999999999999,-0.6443570163905135,20,0,41,2
2,0.55,-0.5978370007556204,10,0,21,2
19,0.5714285714285714,-0.5596157879354228,10,0,50,7
12,0.75,-0.2876820724517809,20,0,50,2
20,0.7857142857142857,-0.2411620568168881,10,0,65,7
3,1.0,0.0,10,0,30,2
13,1.125,0.11778303565638346,20,0,65,2
4,1.5499999999999998,0.43825493093115514,10,0,41,2
5,2.0,0.6931471805599453,10,0,50,2
6,2.75,1.0116009116784799,10,0,65,2
