,kappa,log_kappa,cdd_immed_amt,cdd_immed_wait,cdd_delay_amt,cdd_delay_wait
69,0.0763888888888889,-2.57191802677763,10,0,65,72
28,0.08000000000000002,-2.525728644308255,5,0,11,15
75,0.08333333333333333,-2.4849066497880004,5,0,50,108
90,0.08333333333333333,-2.4849066497880004,5,0,65,144
53,0.0861111111111111,-2.4521168269650095,10,0,41,36
37,0.08666666666666666,-2.4456859366347192,10,0,23,15
44,0.09999999999999999,-2.302585092994046,5,0,23,36
60,0.09999999999999999,-2.302585092994046,5,0,41,72
54,0.1111111111111111,-2.1972245773362196,10,0,50,36
76,0.1111111111111111,-2.1972245773362196,5,0,65,108
61,0.125,-2.0794415416798357,5,0,50,72
29,0.13333333333333333,-2.0149030205422647,5,0,15,15
38,0.13333333333333333,-2.0149030205422647,10,0,30,15
45,0.1388888888888889,-1.9740810260220096,5,0,30,36
55,0.1527777777777778,-1.8787708462176846,10,0,65,36
62,0.16666666666666666,-1.791759469228055,5,0,65,72
14,0.17142857142857146,-1.7635885922613586,5,0,11,7
23,0.1857142857142857,-1.6835458845878224,10,0,23,7
46,0.19999999999999998,-1.6094379124341005,5,0,41,36
39,0.20666666666666664,-1.5766480896111097,10,0,41,15
30,0.23999999999999996,-1.4271163556401458,5,0,23,15
47,0.25,-1.3862943611198906,5,0,50,36
8,0.25,-1.3862943611198906,10,0,15,2
40,0.26666666666666666,-1.3217558399823195,10,0,50,15
15,0.2857142857142857,-1.252762968495368,5,0,15,7
24,0.2857142857142857,-1.252762968495368,10,0,30,7
48,0.3333333333333333,-1.0986122886681098,5,0,65,36
31,0.3333333333333333,-1.0986122886681098,5,0,30,15
41,0.36666666666666664,-1.0033021088637848,10,0,65,15
25,0.4428571428571428,-0.8145080375642129,10,0,41,7
32,0.4799999999999999,-0.7339691750802005,5,0,41,15
16,0.5142857142857142,-0.6649763035932491,5,0,23,7
26,0.5714285714285714,-0.5596157879354228,10,0,50,7
33,0.6,-0.5108256237659907,5,0,50,15
0,0.6000000000000001,-0.5108256237659905,5,0,11,2
9,0.6499999999999999,-0.4307829160924544,10,0,23,2
17,0.7142857142857143,-0.3364722366212129,5,0,30,7
27,0.7857142857142857,-0.2411620568168881,10,0,65,7
34,0.8,-0.2231435513142097,5,0,65,15
1,1.0,0.0,5,0,15,2
10,1.0,0.0,10,0,30,2
18,1.0285714285714285,0.028170876966696224,5,0,41,7
19,1.2857142857142858,0.25131442828090617,5,0,50,7
11,1.5499999999999998,0.43825493093115514,10,0,41,2
20,1.7142857142857142,0.5389965007326869,5,0,65,7
2,1.7999999999999998,0.587786664902119,5,0,23,2
12,2.0,0.6931471805599453,10,0,50,2
3,2.5,0.9162907318741551,5,0,30,2
13,2.75,1.0116009116784799,10,0,65,2
4,3.5999999999999996,1.2809338454620642,5,0,41,2
5,4.5,1.5040773967762742,5,0,50,2
6,6.0,1.791759469228055,5,0,65,2
