,kappa_gt,gamma_gt,kappa_bhm_sing,gamma_bhm_sing,kappa_bhm_agg,gamma_bhm_agg
24,0.0067379469990854,1.0,0.0063566149,1.1926949007,0.0062399678,1.1930331827
25,0.0067379469990854,1.2000000000000002,0.0069111633,1.0630584429,0.0067847837,1.06572583
26,0.0067379469990854,1.4,0.0067477676,1.945484671,0.006678053,1.9814949656
27,0.0067379469990854,1.6,0.007026615,1.5307766946,0.0069414785,1.5415122287
28,0.0067379469990854,1.8,0.0066394802,2.4099835635,0.0065802549,2.4638615368
29,0.0067379469990854,2.0,0.0065773219,2.4777629656,0.0065182886,2.5273066157
30,0.0183156388887341,0.2,0.0216085069,0.2879833474,0.0209435927,0.2887534552
31,0.0183156388887341,0.4,0.0198127756,0.598255306,0.0195175544,0.6000240748
32,0.0183156388887341,0.6000000000000001,0.0213411591,0.829560507,0.0211094461,0.8332690579
33,0.0183156388887341,0.8,0.0163778864,1.379681509,0.016265716,1.3943107922
34,0.0183156388887341,1.0,0.0173772547,1.1669906118,0.0172135043,1.177869165
35,0.0183156388887341,1.2000000000000002,0.0197622481,0.803129521,0.0195579135,0.8056983307
36,0.0183156388887341,1.4,0.0179422515,1.0338578257,0.0177835008,1.0425357989
37,0.0183156388887341,1.6,0.0191656859,1.3800354473,0.0190444006,1.392207574
38,0.0183156388887341,1.8,0.0191432761,2.5099657269,0.019071447,2.55499415
39,0.0183156388887341,2.0,0.0164680711,1.9300572411,0.0163697735,1.9771628401
40,0.0497870683678639,0.2,0.0460251809,0.2101064312,0.0434158909,0.2120711821
41,0.0497870683678639,0.4,0.0457255929,0.2901678985,0.0440192146,0.2920386367
42,0.0497870683678639,0.6000000000000001,0.0444691455,0.6023228826,0.0437959749,0.6064102987
43,0.0497870683678639,0.8,0.0444202307,1.528056186,0.0440674767,1.5568341962
44,0.0497870683678639,1.0,0.0559998347,2.0673622969,0.0557242164,2.1157774118
45,0.0497870683678639,1.2000000000000002,0.0438583714,1.492988817,0.0435222098,1.5167600952
46,0.0497870683678639,1.4,0.0505676753,1.5357247855,0.0501794188,1.547080425
47,0.0497870683678639,1.6,0.0521508298,1.1957070837,0.0516560355,1.2068200723
48,0.0497870683678639,1.8,0.0554362763,1.7092551279,0.0550740039,1.7378326236
49,0.0497870683678639,2.0,0.0501809212,1.542263433,0.0497523625,1.564130954
50,0.1353352832366127,0.2,0.1502885754,0.2364348218,0.1446503413,0.2373949754
51,0.1353352832366127,0.4,0.1467587977,0.4259429669,0.143706905,0.4275336751
52,0.1353352832366127,0.6000000000000001,0.1414824042,1.4666950699,0.140596021,1.4773617129
53,0.1353352832366127,0.8,0.1447846599,1.811893032,0.1441028819,1.8470906115
54,0.1353352832366127,1.0,0.1148018055,1.2363284157,0.1137719612,1.2506590566
55,0.1353352832366127,1.2000000000000002,0.138608827,1.0046406773,0.1373706604,1.0088764264
56,0.1353352832366127,1.4,0.1350789868,1.5604413471,0.1343283373,1.5829741993
57,0.1353352832366127,1.6,0.1330315945,2.0895327603,0.1325929604,2.128148876
58,0.1353352832366127,1.8,0.1390246608,1.7456819714,0.1383893325,1.7800050223
59,0.1353352832366127,2.0,0.1445838291,1.8210779891,0.1441337704,1.8553427615
60,0.3678794411714423,0.2,0.353525556,0.2010778606,0.3428604714,0.2015205269
61,0.3678794411714423,0.4,0.4077693798,0.4046496376,0.4025503639,0.4050326303
62,0.3678794411714423,0.6000000000000001,0.4705881265,1.9050165365,0.4691331995,1.9494988196
63,0.3678794411714423,0.8,0.3311907131,0.6165402336,0.3282069929,0.6181754413
64,0.3678794411714423,1.0,0.470664592,1.904118921,0.4694022507,1.9523758506
65,0.3678794411714423,1.2000000000000002,0.3586143741,1.9162626345,0.3570980753,1.9695269769
66,0.3678794411714423,1.4,0.4113334867,1.926253944,0.4090860531,1.9711177409
67,0.3678794411714423,1.6,0.3589845187,1.9176037565,0.3571231189,1.9709868515
68,0.3678794411714423,1.8,0.4103133611,1.9227529282,0.4088665394,1.9686383227
69,0.3678794411714423,2.0,0.4698975647,1.896012905,0.4690709763,1.947093738
70,1.0,0.2,1.009778012,0.2054342422,1.1840006198,0.2050283525
71,1.0,0.4,0.9328624357,0.3485804904,0.9302006795,0.3492057562
72,1.0,0.6000000000000001,1.0503453391,1.6499035655,1.0503638913,1.6861647677
73,1.0,0.8,1.6948565455,0.6557959217,1.7498510646,0.6522254413
74,1.0,1.0,1.3869703843,1.7039775725,1.389035703,1.7465227023
75,1.0,1.2000000000000002,0.9198081294,1.8048521236,0.917879202,1.8477806615
76,1.0,1.4,0.9198532851,1.8047348416,0.9183614049,1.8538240134
77,1.0,1.6,1.0485127672,1.6529234005,1.0494789872,1.6909724395
78,1.0,1.8,0.919949704,1.805335069,0.9180975611,1.851114636
79,1.0,2.0,1.0487699495,1.6530119016,1.0504364265,1.693559268
80,2.718281828459045,0.2,5.7732860389,0.1731754939,26.9217489581,0.1700960971
81,2.718281828459045,0.4,3.3638287149,0.7790573045,6.561507849,0.7485978736
82,2.718281828459045,0.6000000000000001,2.4962196187,1.5738919753,2.6931398179,1.598321059
83,2.718281828459045,0.8,2.5048473175,1.5776835152,3.0362214787,1.5911297666
84,2.718281828459045,1.0,2.521582584,1.5773692854,2.6769367551,1.6063770885
85,2.718281828459045,1.2000000000000002,8.0270330839,1.5582236983,37.9434136732,1.581719106
86,2.718281828459045,1.4,2.4752164643,1.5802762757,2.6751817627,1.5912116552
87,2.718281828459045,1.6,8.0484436471,1.5602662486,37.6224946963,1.5873957173
88,2.718281828459045,1.8,7.9845163463,1.5626847882,36.4489670715,1.5905595508
