,subject,task,response_rate,percent_impulse,conf_1,conf_2,conf_3,conf_4,negLL,gamma,kappa,alpha,at_bound,LL,LL0,AIC,BIC,R2,softmax_accuracy,softmax_range,fig_fn
14,p0014,CDD,1.0,0.2857142857142857,112,0,0,0,6.646916362784498,1.3310514492847805,0.002852708287673346,1,0,-6.646916362784498,-77.63248422271387,17.293832725568997,22.730830468159184,0.9143797029125634,0.9642857142857143,0.9999999987050713,p0014/cdd/p0014_cdd_gain_model_fit.eps
15,p0015,CDD,1.0,0.2946428571428571,112,0,0,0,6.1107483843489065,1.4888755298582097,0.0033260617261586696,1,0,-6.1107483843489065,-77.63248422271387,16.22149676869781,21.658494511288,0.9212861929444606,0.9732142857142857,0.9999999999207447,p0015/cdd/p0015_cdd_gain_model_fit.eps
16,p0016,CDD,1.0,0.2857142857142857,112,0,0,0,4.063530596308151,2.3085343382648222,0.002463304070803702,1,0,-4.063530596308151,-77.63248422271387,12.127061192616303,17.56405893520649,0.9476568264304076,0.9821428571428571,0.9999999999999993,p0016/cdd/p0016_cdd_gain_model_fit.eps
17,p0017,CDD,1.0,0.2589285714285714,112,0,0,0,7.9546721473192,0.9865894365364289,0.0022,1,1,-7.9546721473192,-77.63248422271387,19.9093442946384,25.346342037228588,0.8975342316175449,0.9821428571428571,0.9999996206123791,p0017/cdd/p0017_cdd_gain_model_fit.eps
18,p0018,CDD,1.0,0.2767857142857143,112,0,0,0,1.5322745018931179,8.0,0.0028258593804154674,1,1,-1.5322745018931179,-77.63248422271387,7.064549003786236,12.501546746376423,0.9802624569181981,0.9910714285714286,1.0,p0018/cdd/p0018_cdd_gain_model_fit.eps
19,p0019,CDD,1.0,0.2678571428571429,112,0,0,0,0.2903002676775968,8.0,0.0024579127770586176,1,1,-0.2903002676775968,-77.63248422271387,4.5806005353551935,10.017598277945382,0.9962605825308285,1.0,1.0,p0019/cdd/p0019_cdd_gain_model_fit.eps
20,p0020,CDD,1.0,0.3571428571428571,112,0,0,0,35.825764998216904,0.22009139999649038,0.0066855494379029785,1,0,-35.825764998216904,-77.63248422271387,75.65152999643381,81.088527739024,0.538520950901956,0.8660714285714286,0.9759278482209153,p0020/cdd/p0020_cdd_gain_model_fit.eps
21,p0021,CDD,1.0,0.3482142857142857,112,0,0,0,18.977794736196,0.49612245624684614,0.007391718034412621,1,0,-18.977794736196,-77.63248422271387,41.955589472392,47.392587214982186,0.7555431218489407,0.9017857142857143,0.9997823224805101,p0021/cdd/p0021_cdd_gain_model_fit.eps
22,p0022,CDD,1.0,0.3571428571428571,112,0,0,0,12.984881942218003,0.7312164259177901,0.0067913852071815935,1,0,-12.984881942218003,-77.63248422271387,29.969763884436006,35.40676162702619,0.8327390644235129,0.9196428571428571,0.9999955438999975,p0022/cdd/p0022_cdd_gain_model_fit.eps
23,p0023,CDD,1.0,0.3303571428571429,112,0,0,0,4.802544128583455,2.0503580565791446,0.005650116046742866,1,0,-4.802544128583455,-77.63248422271387,13.60508825716691,19.0420859997571,0.9381374410896629,0.9821428571428571,0.9999999999999981,p0023/cdd/p0023_cdd_gain_model_fit.eps
24,p0024,CDD,1.0,0.3482142857142857,112,0,0,0,8.255981438307614,1.1501042566214177,0.006200856452267867,1,0,-8.255981438307614,-77.63248422271387,20.51196287661523,25.948960619205415,0.893653004654306,0.9821428571428571,0.9999999954021158,p0024/cdd/p0024_cdd_gain_model_fit.eps
25,p0025,CDD,1.0,0.3571428571428571,112,0,0,0,9.459827738930866,1.01452876899082,0.006741140339861041,1,0,-9.459827738930866,-77.63248422271387,22.91965547786173,28.356653220451918,0.8781460127980409,0.9553571428571429,0.9999999618629529,p0025/cdd/p0025_cdd_gain_model_fit.eps
26,p0026,CDD,1.0,0.3571428571428571,112,0,0,0,4.095200893716445,2.6256463441626194,0.006690254888316431,1,0,-4.095200893716445,-77.63248422271387,12.19040178743289,17.627399530023077,0.9472488748142074,0.9732142857142857,1.0,p0026/cdd/p0026_cdd_gain_model_fit.eps
27,p0027,CDD,1.0,0.3660714285714286,112,0,0,0,6.295315581095254,1.5997149118085399,0.006925332374198725,1,0,-6.295315581095254,-77.63248422271387,16.59063116219051,22.0276289047807,0.9189087449135969,0.9642857142857143,0.9999999999981388,p0027/cdd/p0027_cdd_gain_model_fit.eps
28,p0028,CDD,1.0,0.3571428571428571,112,0,0,0,1.1358237773677298,8.0,0.006671626687010269,1,1,-1.1358237773677298,-77.63248422271387,6.271647554735459,11.708645297325647,0.985369220259534,0.9910714285714286,1.0,p0028/cdd/p0028_cdd_gain_model_fit.eps
29,p0029,CDD,1.0,0.3482142857142857,112,0,0,0,0.5393186582716766,8.0,0.006488457952034231,1,1,-0.5393186582716766,-77.63248422271387,5.078637316543353,10.515635059133542,0.9930529254129693,1.0,1.0,p0029/cdd/p0029_cdd_gain_model_fit.eps
30,p0030,CDD,1.0,0.4821428571428571,112,0,0,0,34.0081947308974,0.28315345465864833,0.02024800179417428,1,0,-34.0081947308974,-77.63248422271388,72.0163894617948,77.453387204385,0.5619334474298943,0.8571428571428571,0.994708024669574,p0030/cdd/p0030_cdd_gain_model_fit.eps
31,p0031,CDD,1.0,0.5089285714285714,112,0,0,0,18.21418909624993,0.5784354292047776,0.019229909956048303,1,0,-18.21418909624993,-77.63248422271387,40.42837819249986,45.86537593509005,0.7653792831877356,0.9196428571428571,0.9999765620795238,p0031/cdd/p0031_cdd_gain_model_fit.eps
32,p0032,CDD,1.0,0.5625,112,0,0,0,13.142758211860903,0.7978797088764601,0.02083066686150913,1,0,-13.142758211860903,-77.63248422271387,30.285516423721806,35.722514166311996,0.8307054277155854,0.9553571428571429,0.9999996194518052,p0032/cdd/p0032_cdd_gain_model_fit.eps
33,p0033,CDD,1.0,0.5,112,0,0,0,7.6004309772470995,1.3956064554360954,0.016045712737565644,1,0,-7.6004309772470995,-77.63248422271387,19.2008619544942,24.637859697084387,0.9020972850045246,0.9642857142857143,0.999999999990687,p0033/cdd/p0033_cdd_gain_model_fit.eps
34,p0034,CDD,1.0,0.5089285714285714,112,0,0,0,9.038502242680273,1.1272906628953145,0.017038724367466517,1,0,-9.038502242680273,-77.63248422271387,22.077004485360547,27.514002227950733,0.8835731931912625,0.9732142857142857,0.9999999988750642,p0034/cdd/p0034_cdd_gain_model_fit.eps
35,p0035,CDD,1.0,0.5178571428571428,112,0,0,0,13.59982908583256,0.7711272055990421,0.01934200059734675,1,0,-13.59982908583256,-77.63248422271388,31.19965817166512,36.63665591425531,0.8248178037583204,0.9464285714285714,0.9999993313987299,p0035/cdd/p0035_cdd_gain_model_fit.eps
36,p0036,CDD,1.0,0.5089285714285714,112,0,0,0,10.292583107933071,0.9949331234131646,0.017625911143662857,1,0,-10.292583107933071,-77.63248422271387,24.585166215866142,30.022163958456332,0.8674191195736378,0.9642857142857143,0.9999999878941527,p0036/cdd/p0036_cdd_gain_model_fit.eps
37,p0037,CDD,1.0,0.5178571428571428,112,0,0,0,7.208913873096877,1.361839333332732,0.019001025498800513,1,0,-7.208913873096877,-77.63248422271388,18.417827746193755,23.854825488783945,0.9071404973668525,0.9642857142857143,0.9999999999871814,p0037/cdd/p0037_cdd_gain_model_fit.eps
38,p0038,CDD,1.0,0.5178571428571428,112,0,0,0,0.22909123717308955,8.0,0.01969757259078958,1,1,-0.22909123717308955,-77.63248422271388,4.458182474346179,9.895180216936367,0.9970490286448149,1.0,1.0,p0038/cdd/p0038_cdd_gain_model_fit.eps
39,p0039,CDD,1.0,0.4910714285714286,112,0,0,0,4.20427354048345,2.5649159239596173,0.01597890552766048,1,0,-4.20427354048345,-77.63248422271387,12.4085470809669,17.845544823557088,0.9458438876125344,0.9910714285714286,1.0,p0039/cdd/p0039_cdd_gain_model_fit.eps
40,p0040,CDD,1.0,0.6071428571428572,112,0,0,0,40.91231013556091,0.2094453313309909,0.040549373371975735,1,0,-40.91231013556091,-77.63248422271387,85.82462027112182,91.26161801371201,0.47300011657245533,0.8571428571428571,0.982201166872449,p0040/cdd/p0040_cdd_gain_model_fit.eps
41,p0041,CDD,1.0,0.6160714285714286,112,0,0,0,31.9215635209316,0.28684933091267356,0.04183099473454813,1,0,-31.9215635209316,-77.63248422271387,67.8431270418632,73.28012478445339,0.5888117733118745,0.8571428571428571,0.995935656106384,p0041/cdd/p0041_cdd_gain_model_fit.eps
42,p0042,CDD,1.0,0.6428571428571428,112,0,0,0,16.08437534592687,0.581784090498917,0.04282703420790685,1,0,-16.08437534592687,-77.63248422271387,36.16875069185374,41.605748434443925,0.792813852255666,0.9196428571428571,0.9999858821460635,p0042/cdd/p0042_cdd_gain_model_fit.eps
