,alpha_gt,beta_gt,gamma_gt,alpha_bhm_sing,beta_bhm_sing,gamma_bhm_sing,alpha_bhm_agg,beta_bhm_agg,gamma_bhm_agg
102,3.0,-3.0,3.0,2.7490241484,0.1820530741,0.0580289014,2.3856817267,0.2330577486,0.0682488506
103,3.0,-3.0,4.0,2.739446252,0.1817230675,0.0586214519,2.1970498415,0.2157351115,0.1049834024
104,3.0,-3.0,5.0,2.7520124903,0.1804321322,0.0577096396,2.5579116286,0.2379051282,0.079888081
105,3.0,-1.5,1.0,2.8194654613,0.1733581879,0.0733728334,2.7940946939,0.2230785421,0.0656151777
106,3.0,-1.5,2.0,2.8149309691,0.1746103573,0.0741829064,2.7681683017,0.3177522727,0.0856594244
107,3.0,-1.5,3.0,2.821968489,0.1764377002,0.0729737048,2.4263160232,0.2144645764,0.1141767167
108,3.0,-1.5,4.0,2.8191203411,0.1749003525,0.0736156866,2.5890489448,0.3471733988,0.0821920958
109,3.0,-1.5,5.0,2.8169328095,0.1761241541,0.0736479562,2.6284390714,0.3589517301,0.09117514
110,3.0,0.0,1.0,3.5607845622,0.2197876626,2.8644023672,3.5804652179,0.4124326588,1.387028577
111,3.0,0.0,2.0,3.5652257021,0.2183712556,2.7393460258,2.8643890078,0.7394143727,0.8638504499
112,3.0,0.0,3.0,3.5632767928,0.2148621001,2.8819455448,3.5885021097,0.3362262753,1.1144884953
113,3.0,0.0,4.0,3.5720124961,0.2224583893,2.8096433924,3.5203664476,0.4623826432,1.131292351
114,3.0,0.0,5.0,3.5516466582,0.2133988844,2.829931768,3.3685150685,0.3446775067,1.1161417144
115,3.0,1.5,1.0,3.4956862935,1.6385904978,2.173334299,3.4928481995,1.5937473014,1.2147415652
116,3.0,1.5,2.0,3.5054583845,1.6468623598,2.1481042529,3.5872870529,1.6380274078,1.1820484665
117,3.0,1.5,3.0,3.4968729749,1.6430640424,2.1028509891,3.3784378341,1.6112219035,1.63118484
118,3.0,1.5,4.0,3.4947088769,1.6434193612,2.1233911469,3.3504790667,1.5800155643,1.2451366701
119,3.0,1.5,5.0,3.4909990041,1.6484982499,2.1046788837,3.4558286134,1.623111289,1.2836617891
120,3.0,3.0,1.0,3.3970090248,3.1680570225,2.1025530248,2.9764713888,3.0339588783,0.8280119682
121,3.0,3.0,2.0,3.3988022385,3.1895087427,2.1535119326,2.8333998788,2.853256127,0.6508183783
122,3.0,3.0,3.0,3.3879851725,3.1708112322,2.0997697897,3.1082229491,2.960180516,0.9563263471
123,3.0,3.0,4.0,3.4043352488,3.1845986309,2.1641432264,3.3382673387,3.4589144234,1.350897672
124,3.0,3.0,5.0,3.4058718827,3.1898625049,2.1299947379,3.3700458091,3.306299652,1.2390970467
