,alpha_gt,beta_gt,gamma_gt,alpha_bhm_agg,beta_bhm_agg,gamma_bhm_agg
74,0.6065306597126334,2.0,8.0,0.6025962554,1.81818204,4.3482948587
75,1.0,-2.0,0.1,0.7008467701,-1.0838158525,0.4920194474
76,1.0,-2.0,0.5,1.1564282006,-0.6481010546,0.3207929765
77,1.0,-2.0,2.0,1.0234152218,-0.7032734836,2.0887699671
78,1.0,-2.0,5.0,1.0540201976,-0.9121885514,3.443468351
79,1.0,-2.0,8.0,1.0229861363,-0.937676617,3.3191039738
80,1.0,-1.0,0.1,0.7361169696,-0.3079220034,0.3524285993
81,1.0,-1.0,0.5,0.9929273567,-0.4475789853,0.6342866963
82,1.0,-1.0,2.0,0.979351648,-0.7360771142,3.2937528287
83,1.0,-1.0,5.0,0.9968427248,-0.9624899198,3.2679758219
84,1.0,-1.0,8.0,1.0178193708,-0.6859692333,3.5455044053
85,1.0,0.0,0.1,0.9153296322,0.2970856058,0.2475857442
86,1.0,0.0,0.5,1.0223774018,-0.5107682737,0.4963583461
87,1.0,0.0,2.0,1.0792408046,0.079600998,2.988941588
88,1.0,0.0,5.0,1.0119695461,-0.1215562281,3.5253493767
89,1.0,0.0,8.0,1.0080966274,0.1038577111,3.6020775637
90,1.0,1.0,0.1,0.8309649415,0.019181235,0.2033041668
91,1.0,1.0,0.5,0.7867059705,0.7235243906,0.9721124789
92,1.0,1.0,2.0,0.9667346727,0.9952954084,1.5693318248
93,1.0,1.0,5.0,1.0560189225,1.0588506688,3.2516393275
94,1.0,1.0,8.0,1.0146062528,0.9777018491,3.945745672
95,1.0,2.0,0.1,0.6228105051,0.9206586038,0.6981033961
96,1.0,2.0,0.5,1.08849011,1.7108751191,0.4240815735
97,1.0,2.0,2.0,1.0374920655,2.0975616968,2.1358380049
98,1.0,2.0,5.0,1.0206890362,1.8581964528,3.6071247703
99,1.0,2.0,8.0,1.0073094879,1.8334164447,3.6433569322
100,1.6487212707001282,-2.0,0.1,1.518497544,-0.5141650214,0.2003413996
101,1.6487212707001282,-2.0,0.5,1.6547870072,-0.4559528559,0.4910366614
102,1.6487212707001282,-2.0,2.0,1.620983991,-0.3912606947,2.3527258363
103,1.6487212707001282,-2.0,5.0,1.6213025983,-0.3871679771,2.3601929636
104,1.6487212707001282,-2.0,8.0,1.7543009354,-0.3135613477,2.2592298673
105,1.6487212707001282,-1.0,0.1,1.6323401822,-0.249343974,0.5525711476
106,1.6487212707001282,-1.0,0.5,1.5766475451,-0.4699756693,0.9316996409
107,1.6487212707001282,-1.0,2.0,1.7996099445,-0.327488857,0.9585797622
108,1.6487212707001282,-1.0,5.0,1.6215068509,-0.389332719,2.3501992324
109,1.6487212707001282,-1.0,8.0,1.6212829364,-0.3908906302,2.3662870371
110,1.6487212707001282,0.0,0.1,1.4903215792,-0.2827560948,0.1646292185
111,1.6487212707001282,0.0,0.5,1.4704640127,0.0204684944,0.7182645011
112,1.6487212707001282,0.0,2.0,1.6217165183,-0.38825742,2.3603804043
113,1.6487212707001282,0.0,5.0,1.7539325881,-0.3153084144,2.257302246
114,1.6487212707001282,0.0,8.0,1.7546904917,-0.3145353327,2.2492135556
115,1.6487212707001282,1.0,0.1,1.4475420792,0.6167123761,0.308920213
116,1.6487212707001282,1.0,0.5,1.4103761497,0.5747122685,0.7749798035
117,1.6487212707001282,1.0,2.0,1.7418960889,0.9862833378,2.3343629901
118,1.6487212707001282,1.0,5.0,1.6245159832,1.0078855395,2.4093648307
119,1.6487212707001282,1.0,8.0,1.6243071192,1.0079722593,2.4103135359
120,1.6487212707001282,2.0,0.1,1.4137997774,1.818047332,0.2045541226
121,1.6487212707001282,2.0,0.5,1.6984174735,2.3360503609,1.975048103
122,1.6487212707001282,2.0,2.0,1.6436251328,2.0354623811,1.3764412466
123,1.6487212707001282,2.0,5.0,1.6242498804,2.016389724,2.3637502167
124,1.6487212707001282,2.0,8.0,1.6249538565,2.016449709,2.3604268053
