,alpha_gt,beta_gt,gamma_gt,alpha_bhm_sing,beta_bhm_sing,gamma_bhm_sing,alpha_bhm_agg,beta_bhm_agg,gamma_bhm_agg
53,1.0408107741923882,-4.1,6.4,1.2585101498,-0.6240778667,2.0424408998,1.236196943,-0.6374388729,2.2089194286
54,1.0408107741923882,-4.1,8.0,1.2320933684,-0.6274830878,2.2196335612,1.2862664399,-0.8635962258,1.9536320123
55,1.0408107741923882,-4.1,1.6,1.2505145917,-0.6435107913,2.4016123895,1.2495645259,-0.7587806252,2.205203579
56,1.0408107741923882,-4.1,3.2,1.2349975758,-0.6513705461,2.3650042681,1.2591470298,-0.7539643936,2.2282472243
57,1.0408107741923882,-4.1,4.800000000000001,1.2912686264,-0.5279547029,2.3312158852,1.2468121142,-0.847752324,1.9663523152
58,1.0408107741923882,-4.1,6.4,1.2573232095,-0.6499048147,2.4231592695,1.2252915789,-0.936341359,2.1303448116
59,1.0408107741923882,-4.1,8.0,1.2367225755,-0.6349186413,2.2171434218,1.2656647006,-0.8451665816,2.2142268944
60,1.0408107741923882,-4.1,1.6,1.0204038591,-0.561462156,0.9250063629,1.0129350997,-0.8313627623,0.9023629732
61,1.0408107741923882,-4.1,3.2,1.036948567,-0.7507897069,1.9526518335,1.0348541555,-1.0147461177,2.3188827284
62,1.0408107741923882,-4.1,4.800000000000001,1.2230100692,-0.6277430295,2.4537464536,1.2329845626,-0.905803401,2.6344088827
63,1.0408107741923882,-4.1,6.4,1.2240309374,-0.6333350474,2.5991392282,1.2713792608,-0.7305925768,2.4181875874
64,1.0408107741923882,-4.1,8.0,1.229198726,-0.6874383102,2.3119923189,1.2566431796,-0.8612803789,2.3470578917
65,1.0408107741923882,-4.1,1.6,1.0344980211,-0.7365216126,1.9303804215,1.0090337106,-0.8374826931,1.7930120749
66,1.0408107741923882,-4.1,3.2,1.2650364293,-0.6105091381,2.3776042256,1.2338907557,-0.8464559112,2.3709934467
67,1.0408107741923882,-4.1,4.800000000000001,1.2191712457,-0.6317054499,2.1995553798,1.244326352,-0.7472621762,2.48380625
68,1.0408107741923882,-4.1,6.4,1.2756063551,-0.5812386832,2.0461392566,1.2435614416,-0.8695023238,2.2102453035
69,1.0408107741923882,-4.1,8.0,1.2551261449,-0.6316659132,2.2431123433,1.2647425162,-0.7738748398,2.4557546702
70,1.0408107741923882,-4.1,1.6,1.0497366016,-0.6002880642,1.9214894873,1.0336358901,-0.8822683253,2.5389297208
71,1.0408107741923882,-4.1,3.2,1.2108952437,-0.644543861,2.5775831044,1.2581760172,-0.8835979211,2.3221538412
72,1.0408107741923882,-4.1,4.800000000000001,1.2273749937,-0.6882816969,2.6775669936,1.2503953676,-0.8536103247,2.5037719121
73,1.0408107741923882,-4.1,6.4,1.2414360508,-0.573723697,2.1859387537,1.2384713679,-0.8560513001,2.4941002935
74,1.0408107741923882,-4.1,8.0,1.2472714326,-0.6375541085,2.3262552413,1.2799225684,-0.7839769324,2.1982530385
75,2.054433210643887,-4.1,1.6,2.1462389567,-0.2028426393,1.4635409609,2.2225282279,-0.3872162949,1.1966182114
76,2.054433210643887,-4.1,3.2,2.2024557691,-0.1489981205,1.8142677567,2.2698898873,-0.4314731511,1.634234462
77,2.054433210643887,-4.1,4.800000000000001,1.7418842197,-0.2487847304,1.9412471898,1.7046329802,-0.5819111149,1.7123098119
78,2.054433210643887,-4.1,6.4,1.7305460939,-0.318409223,1.9808667333,1.6976308897,-0.5840776439,1.5692099878
79,2.054433210643887,-4.1,8.0,2.1656818593,-0.0919707643,1.5784010477,2.2528568926,-0.5869499718,1.2468206978
80,2.054433210643887,-4.1,1.6,1.7237746966,-0.2604970944,1.722000598,1.7649403609,-0.5313996853,1.9935024454
81,2.054433210643887,-4.1,3.2,1.7027366205,-0.4011181459,2.2414206672,1.7503522144,-0.4559327282,1.7606834058
82,2.054433210643887,-4.1,4.800000000000001,1.6747371651,-0.2887331666,1.5264400699,1.681626805,-0.5264575911,1.747941408
83,2.054433210643887,-4.1,6.4,1.5759563517,-0.0696839079,1.8168659695,2.243903705,-0.5020714599,1.4989485215
84,2.054433210643887,-4.1,8.0,1.7181619395,-0.358786528,2.0626072044,1.7409613232,-0.4448963352,2.096284742
85,2.054433210643887,-4.1,1.6,2.1204128459,-0.2577363041,1.1333414234,2.1911901793,-0.5565064132,0.8722533983
86,2.054433210643887,-4.1,3.2,1.739722695,-0.1826131865,1.7672642688,1.7535769124,-0.6008131504,1.5420584531
87,2.054433210643887,-4.1,4.800000000000001,1.6099202175,-0.1732805598,1.889777933,1.7172238666,-0.490742536,1.5649072511
88,2.054433210643887,-4.1,6.4,1.6739447134,-0.2948148007,2.625914815,1.7382646682,-0.5639985708,1.858591741
89,2.054433210643887,-4.1,8.0,1.7271012881,-0.3331235202,2.0534819415,1.7168642869,-0.6410632,1.8468839977
90,2.054433210643887,-4.1,1.6,1.7090188518,-0.2419573289,1.8677486841,1.7308168875,-0.575870512,2.2878273768
91,2.054433210643887,-4.1,3.2,1.706181101,-0.5425830759,2.3589163892,1.7528456772,-0.4231135954,1.7022465407
92,2.054433210643887,-4.1,4.800000000000001,2.1214983281,-0.2374377886,1.4771182445,2.2698958607,-0.3310304159,1.3122636758
93,2.054433210643887,-4.1,6.4,2.1959348757,-0.1400851392,1.6800409473,2.2868802467,-0.2413109606,1.8369461458
94,2.054433210643887,-4.1,8.0,2.1744742797,-0.2140666388,1.7168067152,2.233485837,-0.4537018673,1.4605058397
95,2.054433210643887,-4.1,1.6,2.1342035741,-0.2230851985,1.5421345378,2.3226611061,-0.4571494826,1.8516261878
96,2.054433210643887,-4.1,3.2,1.7107568543,-0.3198468478,2.2664249586,1.7481206204,-0.3905182448,1.9448817367
97,2.054433210643887,-4.1,4.800000000000001,1.7429340341,-0.2830387554,2.125051267,1.7119436763,-0.5957140606,1.7256707408
98,2.054433210643887,-4.1,6.4,1.7234109525,-0.2917026066,2.2225463038,1.7021389417,-0.7491093178,1.5920378377
99,2.054433210643887,-4.1,8.0,2.1642523542,-0.1864574053,1.7841467886,2.1691051185,-0.3305414714,1.1832076376
100,4.055199966844674,-4.1,1.6,2.5324668126,-0.3010120843,0.8489280747,2.9397011602,-0.4892866572,0.9541099523
101,4.055199966844674,-4.1,3.2,2.2663442516,-0.0737519615,0.4508658937,2.7867067648,-0.3287862354,0.7303564827
102,4.055199966844674,-4.1,4.800000000000001,3.0232509828,-0.1097500584,1.5174195623,3.1808300377,-0.3232014003,1.4456061871
103,4.055199966844674,-4.1,6.4,2.9784608649,-0.0571818114,1.421636295,2.9964824527,-0.4189041649,0.9980629152
104,4.055199966844674,-4.1,8.0,2.57596842,-0.1584797059,0.855704318,3.0639421708,-0.3617664491,1.2630087578
105,4.055199966844674,-4.1,1.6,2.9229976912,0.08594172,1.9172405778,3.0936720841,-0.1936672726,0.8800863866
