,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
prob[28],0.5275526724,0.0239575202,0.4932597892,0.5713104121,0.0002459,0.0001839443,14946.020893177,10908.6366924537,1.0003146123
prob[29],0.4155369062,0.0414697176,0.3357949295,0.4961165938,0.00096628,0.0007469442,2152.0912050377,604.178109351,1.0020414743
prob[30],0.541517192,0.0271948626,0.497792647,0.5912657204,0.0001942063,0.0001373267,17383.3401195162,12718.2891866178,1.0002366134
prob[31],0.4471575096,0.0477436287,0.358962609,0.5388722833,0.0008688514,0.0006591137,3662.3822434043,2826.1747576943,1.0012320981
prob[32],0.5759031523,0.0342913226,0.5094402621,0.6377372322,0.000522103,0.0003692076,4421.3991920027,2307.4757130483,1.0010642751
prob[33],0.3847333707,0.0431165356,0.2990087489,0.4615494402,0.0011826892,0.0009316599,1913.5402322546,605.337362052,1.0020988136
prob[34],0.5390588373,0.0417277614,0.4685713941,0.6208598116,0.000298435,0.0002110285,18582.6523994129,15745.7772641263,1.0003049088
prob[35],0.4920460952,0.0046377198,0.4832520507,0.5008908575,0.0001101466,7.86286e-05,2361.6516354047,639.5525588925,1.0019194959
prob[36],0.450993947,0.0406139722,0.3753592178,0.5267499658,0.0006161899,0.000463215,4182.9564106229,4267.9122474046,1.0009516086
prob[37],0.4448248587,0.0217944384,0.4028841868,0.4865007368,0.0005565606,0.0004136107,1920.7936225436,605.9950564482,1.0020253044
prob[38],0.4057386849,0.0407021238,0.3252992126,0.4815737,0.0009911168,0.0007687909,1981.2194346201,597.4716008102,1.0021391988
prob[39],0.3775238251,0.0432013618,0.2936200736,0.4577948229,0.0011459049,0.0009022072,1878.407160161,605.238189398,1.0020994415
prob[40],0.4608191567,0.0194306948,0.4230315225,0.4984085741,0.0004055724,0.0002982339,2098.4157932303,600.3341164686,1.0017706144
prob[41],0.4446970875,0.0225485081,0.3998433902,0.4851934053,0.0006174537,0.0004605883,1944.5301918314,609.2071593576,1.0020784677
prob[42],0.4955606872,0.0050933973,0.4862273677,0.5054158439,8.37515e-05,5.9606e-05,4445.9566870587,4560.4701576723,1.0008590406
prob[43],0.5121944508,0.0104359119,0.4943389794,0.5319006829,7.51058e-05,5.31086e-05,18051.2518800285,15204.3921856366,1.0002780441
prob[44],0.5202208162,0.0087770244,0.5034051865,0.5363716444,0.0001423719,0.0001006799,3646.1917684954,1579.3819011021,1.0011936155
prob[45],0.3979782604,0.0406208661,0.3174171201,0.4732619162,0.0010110043,0.000785976,1917.5970828145,607.6552533275,1.0021123942
