,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
prob[18],0.405758867,0.0382708553,0.3339955195,0.4769200587,0.0003340452,0.0002435149,13368.9629257633,10572.1754953545,1.0001150865
prob[19],0.6190985289,0.0581728937,0.5146055368,0.7234161731,0.0005121233,0.000362134,11563.8696564953,9838.0327868986,1.0001887042
prob[20],0.5293048178,0.0145362427,0.5015610048,0.5551079385,0.0001308798,9.25482e-05,11399.8834071035,10033.9000203132,1.0001839891
prob[21],0.5446045676,0.0312009029,0.4963448208,0.6005244,0.0002630366,0.0001859989,11634.0174412564,10573.2017264576,1.0001744024
prob[22],0.49590962,0.0273734105,0.4428641318,0.5437470934,0.0002493306,0.0001763076,12690.7961852611,15443.8214283552,1.0001646584
prob[23],0.56528851,0.0400463064,0.4997862987,0.6364584018,0.000341154,0.0002412374,11601.8133597466,10266.3406549151,1.0001821004
prob[24],0.4947065579,0.0257557632,0.448410109,0.5450032087,0.0002226001,0.0001574055,13160.9597740188,17214.9267552175,1.0001346557
prob[25],0.3754764373,0.0387033526,0.303713174,0.4481467081,0.0003387562,0.0002501774,13249.9778248016,9853.853093279,1.000119089
prob[26],0.594137284,0.0494912509,0.4998613971,0.6854328019,0.0004658627,0.0003294232,11436.4477833773,10846.2280970208,1.0001758496
prob[27],0.456503357,0.0202691171,0.4186155863,0.4945554757,0.0001754745,0.0001256276,13573.8372666654,11460.6424684446,1.0001151629
prob[28],0.5233635994,0.0209701765,0.4935672909,0.5625852209,0.0001759506,0.0001244184,11794.9250359751,12117.1579657507,1.0001590891
prob[29],0.4085046398,0.0372231951,0.3392558782,0.4782661446,0.0003226606,0.0002346861,13288.1832921992,10534.9255138907,1.0001165948
prob[30],0.5376563619,0.0257912346,0.4964732028,0.5840952534,0.0002192236,0.0001550178,11652.7673978638,10699.2188404796,1.0001770507
prob[31],0.4379702483,0.0429866124,0.3558813691,0.5174299697,0.00036949,0.0002641727,13831.0728480917,16458.9875789479,1.0001164731
prob[32],0.5739711067,0.0338426938,0.5107623324,0.6381274802,0.0003152545,0.0002229243,11319.3877880932,10005.4284922951,1.0001789436
prob[33],0.3792419345,0.03837384,0.3080103664,0.451228582,0.0003365925,0.0002483562,13202.6205462453,10069.1066849764,1.0001122839
prob[34],0.5325160046,0.0404664446,0.461631309,0.6087353448,0.0003523406,0.0002491479,12263.8488972576,13733.946580955,1.0001591079
prob[35],0.4912148711,0.0040861174,0.4836773228,0.4989862661,3.53187e-05,2.50342e-05,13565.3858927015,11435.4554604714,1.0001151717
prob[36],0.4433797022,0.0380212756,0.3730745021,0.5148330468,0.0003258044,0.0002325038,13605.7852136134,16186.4425141478,1.0001285951
prob[37],0.4418844988,0.019652842,0.4054687503,0.4790360124,0.0001699422,0.0001223695,13156.6857979339,10045.0509715872,1.0001119785
prob[38],0.3993919728,0.0366576266,0.3282414362,0.4655398871,0.0003183719,0.0002325633,13126.5149487148,10237.6458090305,1.0001148138
prob[39],0.3727400219,0.0390199651,0.3003176956,0.4460340002,0.0003409751,0.0002519627,13296.9471065531,9885.5057913771,1.0001312967
prob[40],0.4575611783,0.0179413124,0.4242694655,0.4909648663,0.0001529387,0.0001095111,13090.717147684,10498.2859751659,1.0001219872
prob[41],0.4415473109,0.0199353739,0.4046034516,0.4790773625,0.0001734841,0.00012502,13182.2514000931,9886.7010978462,1.0001113362
prob[42],0.4945755634,0.0046153546,0.4861626942,0.5035336552,3.95134e-05,2.796e-05,13830.7841195863,17371.4507725467,1.0001159184
prob[43],0.5106587251,0.0101060082,0.4933218787,0.5294859006,8.76848e-05,6.20039e-05,12022.0601095291,12831.2980999798,1.0001672009
prob[44],0.5198215386,0.0086057717,0.50343434,0.5357643137,7.93747e-05,5.61277e-05,11298.011240106,9650.3765454989,1.0001792791
prob[45],0.3921564453,0.0367100668,0.3229837161,0.4604974785,0.0003190629,0.0002336862,13108.8061382267,9845.8715590664,1.0001134774
prob[46],0.6932930253,0.0610616153,0.579605572,0.807181825,0.0005712922,0.0004039749,11693.7620240864,9275.312678955,1.0001582917
prob[47],0.4121392566,0.0347864483,0.3472941617,0.4767970291,0.0002985802,0.0002167764,13037.7055962445,10302.1938890071,1.0001206019
prob[48],0.5112101789,0.0075661966,0.4970746104,0.5250898269,6.83913e-05,4.83611e-05,11688.7355183881,11700.5742880962,1.0001759144
prob[49],0.4680262851,0.030170018,0.4113741171,0.5206250912,0.0002633899,0.0001863409,13147.1106180357,18007.8351009615,1.0001571381
prob[50],0.5096733786,0.0130914464,0.4900141672,0.5341878792,0.0001104011,7.8067e-05,12218.4903260684,14301.0929993525,1.0001399968
prob[51],0.4527569623,0.029583065,0.3991541934,0.5053070046,0.0002545876,0.000181252,12977.7275584262,13580.6109770278,1.0001484635
prob[52],0.5239520061,0.0199524433,0.4940501746,0.5610576203,0.0001681646,0.0001189128,11794.4708225157,11743.7111309663,1.0001663656
