,subject,task,response_rate,percent_impulse,conf_1,conf_2,conf_3,conf_4,negLL,gamma,kappa,alpha,at_bound,LL,LL0,AIC,BIC,R2,softmax_accuracy,softmax_range,fig_fn
11,p0011,CDD,1.0,0.25,112,0,0,0,11.096538872081481,0.7120235688792498,0.0022,1,1,-11.096538872081481,-77.63248422271387,26.193077744162963,31.63007548675315,0.8570631999840753,0.9553571428571429,0.9999767725514197,p0011/cdd/p0011_cdd_gain_model_fit.eps
12,p0012,CDD,1.0,0.2321428571428571,112,0,0,0,13.165009647168683,0.5984581515954858,0.0022,1,1,-13.165009647168683,-77.63248422271387,30.330019294337365,35.767017036927555,0.8304188023997712,0.9732142857142857,0.999872631455851,p0012/cdd/p0012_cdd_gain_model_fit.eps
13,p0013,CDD,1.0,0.2232142857142857,112,0,0,0,14.863980105695049,0.5264647400646157,0.0022,1,1,-14.863980105695049,-77.63248422271387,33.7279602113901,39.164957953980284,0.8085340144075137,0.9642857142857143,0.9996254567366744,p0013/cdd/p0013_cdd_gain_model_fit.eps
14,p0014,CDD,1.0,0.2142857142857143,112,0,0,0,15.145989862676814,0.5159067568421667,0.0022,1,1,-15.145989862676814,-77.63248422271387,34.29197972535363,39.728977467943814,0.8049013887121576,0.9553571428571429,0.999561279908686,p0014/cdd/p0014_cdd_gain_model_fit.eps
15,p0015,CDD,1.0,0.2142857142857143,112,0,0,0,15.145989862676814,0.5159067717227376,0.0022,1,1,-15.145989862676814,-77.63248422271387,34.29197972535363,39.728977467943814,0.8049013887121576,0.9553571428571429,0.9995612800064756,p0015/cdd/p0015_cdd_gain_model_fit.eps
16,p0016,CDD,1.0,0.2142857142857143,112,0,0,0,15.145989862676815,0.5159067609578334,0.0022,1,1,-15.145989862676815,-77.63248422271387,34.29197972535363,39.72897746794382,0.8049013887121576,0.9553571428571429,0.9995612799357326,p0016/cdd/p0016_cdd_gain_model_fit.eps
17,p0017,CDD,1.0,0.2142857142857143,112,0,0,0,15.145989862676814,0.5159067611580451,0.0022,1,1,-15.145989862676814,-77.63248422271387,34.29197972535363,39.728977467943814,0.8049013887121576,0.9553571428571429,0.9995612799370484,p0017/cdd/p0017_cdd_gain_model_fit.eps
18,p0018,CDD,1.0,0.2142857142857143,112,0,0,0,15.145989862676814,0.5159067714196223,0.0022,1,1,-15.145989862676814,-77.63248422271387,34.29197972535363,39.728977467943814,0.8049013887121576,0.9553571428571429,0.9995612800044836,p0018/cdd/p0018_cdd_gain_model_fit.eps
19,p0019,CDD,1.0,0.2142857142857143,112,0,0,0,15.145989862676814,0.5159067666875137,0.0022,1,1,-15.145989862676814,-77.63248422271387,34.29197972535363,39.728977467943814,0.8049013887121576,0.9553571428571429,0.999561279973386,p0019/cdd/p0019_cdd_gain_model_fit.eps
20,p0020,CDD,1.0,0.25,112,0,0,0,14.399089614700172,0.5446673550835335,0.0022,1,1,-14.399089614700172,-77.63248422271387,32.79817922940035,38.23517697199053,0.814522364460324,0.9553571428571429,0.9997148491615883,p0020/cdd/p0020_cdd_gain_model_fit.eps
